author_id,author_name
765,Helen Oyeyemi
766,Matt Ruff
767,Rainbow Rowell
768,Scott Mebus
769,Mervyn Peake
770,Kristen Britain
771,Brent Weeks
772,Robert E. Margroff
773,Judi Mccoy
774,Bruno Schulz
775,Lian Hearn
776,Mercedes Nunez
777,Barbara Michaels
778,John Flanagan
779,Ivor Cutler
780,Cassandra Jean
781,荒川 弘
782,Al Perkins
783,Christopher Pike
784,Frank E. Peretti
785,Elizabeth A. Lynn
786,Pat Lewis
787,Elizabeth Ann Scarborough
788,Tomoco Kanemaki
789,Kirsty Hall
790,Lynch
791,Patricia
792,Christopher Tolkien
793,L. Lagin
794,David Wiesner
795,Philip Sendak
796,Munro Leaf
797,Deborah Turner Harris
798,Stephen Gresham
799,Samantha Hunt
800,Kit Williams
801,Laurence Yep
802,Antonia Barber
803,David Clement-Davies
804,Namina Forna
805,Sarah Rees Brennan
806,Maureen Johnson
807,Robin Wasserman
808,Sara Holland
809,Eleanor Hawken
810,Steven Kroll
811,Barbara Siegel
812,Scott Siegel
813,Glen Cook
814,Jean-Georges Schimek
815,Robert J. Stoller
816,Marjorie M. Liu
817,Cheyenne McCray
818,L. A. Banks
819,Susan Krinard
820,Heidi Betts
821,Lilith Saintcrow
822,Susan Sizemore
823,Denise Little
824,Carrie Vaughn
825,Linda Winstead Jones
826,Martin H. Greenberg
827,Rachel Hartman
828,Deborah Harkness
829,Debbie Guthery
830,Adrian Tchaikovsky
831,Tracey O'hara
832,Henry H. Neff
833,Michelle Charrier
834,Christophe Rosson
835,Samantha Shannon
836,Jorge Rizzo
837,Allan Stratton
838,Alan Dean Foster
839,P. G. Bell
840,Xiran Jay Zhao
841,Padraic Colum
842,Maya Kaathryn Bohnhoff
843,Marc Scott Zicree
844,Marc Zicree
845,Winsor McCay
846,Janet Ahlberg
847,Allan Ahlberg
848,Jan Wahl
849,Jon Cleary
850,Sergio Aragones
851,Mark Evanier
852,Sergio Aragonés
853,E. K. Johnston
854,Dakota Banks
855,Rex Stone
856,Katy Kit
857,Eloise Jarvis McGraw
858,Todd McCaffrey
859,Clare Bell
860,Bill Peet
861,Sam Gayton
862,Guy Gavriel Kay
863,David Almond
864,Polly Dunbar
865,Alma Alexander
866,Joanne Harris
867,Ann E. Downer
868,Rebecca Yarros
869,Kyŏng-a Chʻoe
870,Choi Kyung-Ah
871,Sarah Dyer
872,Melissa Marr
873,Jim Krueger
874,Alex Ross
875,Frewin Jones
876,Simon Vance
877,N.D. Stevenson
878,Lester del Rey
879,Leslie Fish
880,Nancy Asire
881,Roshani Chokshi
882,Gennifer Choldenko
883,Allan Zola Kronzek
884,A. G. Howard
885,Jo Graham
886,Scott Ciencin
887,Robert Kraus
888,Debby Chen
889,Zilpha Keatley Snyder
890,Mike Baron
891,Steve Rude
892,Hanna Segal
893,Betty Joseph
894,William Allingham
895,S. L. Huang
896,Kate Saunders
897,William Carman
898,Heather Fawcett
899,Scholastic Staff
900,Grant Morrison
901,Tom Orzechowski
902,Andrew Grossberg
903,Marc Silvestri
904,Greg Capullo
905,Brian Holguin
906,Tony Daniels
907,Danielle Knafo
908,Peter Sís
909,Lionel Davidson
910,Rosemary Wells
911,Robin Lawrie
912,Isaac Asimov
913,Dorothy Bloch
